"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"590095","GOLDBEES","Nippon India Gold Bees ETF","E","1.0000","1","ETF","E","BSE","60.3300","40.2200","","","-1"
"590097","KOTAKGOLD","Kotak Mahindra Gold ETF","E","1.0000","1","ETF","E","BSE","60.6000","40.4000","","","-1"
"590113","HNGSNGBEES","Nippon India Hang Sen ETF","E","1.0000","1","ETF","E","BSE","310.8200","207.2100","","","-1"
"533244","ICICIGOLD","ICICI Prudential Gold ETF","E","1.0000","1","ETF","E","BSE","62.0400","41.3600","","","-1"
"533570","AXISGOLD","Axis Gold ETF","E","1.0000","1","ETF","E","BSE","60.4800","40.3200","","","-1"
"533172","IVZINGOLD","Invesco India Gold ETF","E","1.0000","1","ETF","E","BSE","6299.2900","4199.5200","","","-1"
"533719","LICMFGOLD","IDBI Gold ETF","E","1.0000","1","ETF","E","BSE","6494.0400","4329.3600","","","-1"
"533385","MON100","Motilal Oswal Nasdaq ETF","E","1.0000","1","ETF","E","BSE","143.0600","95.3700","","","-1"
"590101","GOLDSHARE","UTI Gold ETF","E","1.0000","1","ETF","E","BSE","60.4900","40.3200","","","-1"
"533230","HDFCGOLD","HDFCGOLD","E","1.0000","1","ETF","E","BSE","62.1100","41.4000","","","-1"
"533408","BSLGOLDETF","Aditya Birla Sun Life Gold ETF","E","1.0000","1","ETF","E","BSE","63.7500","42.5000","","","-1"
"590099","QGOLDHALF","Quantum Gold ETF","E","1.0000","1","ETF","E","BSE","60.0300","40.0200","","","-1"
"590098","SBIGETS","SBI Gold ETF","E","1.0000","1","ETF","E","BSE","62.1400","41.4300","","","-1"
"543452","ICICISILVE","ICICI Prudential Silver ETF","E","1.0000","1","ETF","E","BSE","88.2300","58.8200","","","-1"
"543471","SILVER","Aditya Birla Sun Life Mut","E","1.0000","1","ETF","E","BSE","88.2700","58.8400","","","-1"
"543572","DSPSILVETF","DSP Mutual Fund","E","1.0000","1","ETF","E","BSE","85.4800","56.9900","","","-1"
"543592","HDFCSILVER","HDFC Mutual Fund","E","1.0000","1","ETF","E","BSE","84.5100","56.3400","","","-1"
"543781","GOLDETF","Mirae Asset Mutual Fund","E","1.0000","1","ETF","E","BSE","70.5800","47.0500","","","-1"
"543900","SILVERETF","UTI Mutual Fund","E","1.0000","1","ETF","E","BSE","86.5800","57.7200","","","-1"
"543903","DSPGOLDETF","DSP Mutual Fund","E","1.0000","1","ETF","E","BSE","70.6200","47.0800","","","-1"
"543922","SILVRETF","Mirae Asset Mutual Fund","E","1.0000","1","ETF","E","BSE","86.4600","57.6400","","","-1"
"530043","ACKNIT","Acknit Industries ","XT","5.0000","1","ES","E","BSE","232.0500","209.9500","","","-1"
"505720","HERCULES","Hercules Hoists","B","5.0000","1","ES","E","BSE","368.9000","246.0000","","","-1"
"533259","SASTASUNDR","Sastasundar Ventures","B","5.0000","1","ES","E","BSE","321.6000","214.4000","","","-1"
"500210","INGERRAND","Ingersoll Rand","A","5.0000","1","ES","E","BSE","3585.3000","2390.2000","","","-1"
"526381","PATINTLOG","Patel Integrated Logistic","T","1.0000","1","ES","E","BSE","15.5600","14.0800","","","-1"
"509835","PREMSYN","Premier Synthetics","XT","1.0000","1","ES","E","BSE","14.5400","13.1600","","","-1"
"537392","TAAZAINT","Taaza International","X","1.0000","1","ES","E","BSE","13.4800","12.2000","","","-1"
"532218","SOUTHBANK","South Indian Bank","A","1.0000","1","ES","E","BSE","32.1300","21.4300","","","-1"
"532392","CREATIVEYE","Creative Eye","B","1.0000","1","ES","E","BSE","4.4700","2.9900","","","-1"
"523716","ASHIANA","Ashiana Housing","B","5.0000","1","ES","E","BSE","247.2000","164.8000","","","-1"
"506180","EMERGENT","Emergent Industrial Solutions","XT","1.0000","1","ES","E","BSE","99.7500","90.2500","","","-1"
"503776","MODIPON","Modipon","X","1.0000","1","ES","E","BSE","41.9100","34.2900","","","-1"
"531456","MINAXI","Minaxi Textiles","X","1.0000","1","ES","E","BSE","1.8000","1.2000","","","-1"
"522171","TMTIND-B1","Tmt","XT","1.0000","1","ES","E","BSE","2.9200","2.6600","","","-1"
"524711","VISTAPH","Vista Pharmaceuticals","XT","1.0000","1","ES","E","BSE","19.7000","18.9400","","","-1"
"500696","HINDUNILVR","Hindustan Unilever","A","5.0000","1","ES","E","BSE","2730.5000","2234.1000","","","-1"
"509069","INFOMEDIA","Infomedia Press","B","1.0000","1","ES","E","BSE","5.4200","4.9200","","","-1"
"532189","ITDC","ITDC","B","5.0000","1","ES","E","BSE","451.9500","301.3500","","","-1"
"542679","DEL","Dhanashree Electronics Li","XT","1.0000","1","ES","E","BSE","40.6900","36.8300","","","-1"
"540136","HPL","Hpl Electric & Power Limi","B","5.0000","1","ES","E","BSE","229.5500","207.7500","","","-1"
"506480","GOCLCORP","GOCL Corp","B","5.0000","1","ES","E","BSE","507.0000","338.0000","","","-1"
"532994","ARCHIDPLY","Archidply Industries","T","1.0000","1","ES","E","BSE","71.3200","64.5400","","","-1"
"539533","ELITECON","Elitecon International","XT","1.0000","1","ES","E","BSE","11.0200","9.9800","","","-1"
"540678","COCHINSHIP","Cochin Shipyard","A","5.0000","1","ES","E","BSE","1202.2000","801.5000","","","-1"
"532505","UCOBANK","UCO Bank","A","1.0000","1","ES","E","BSE","51.6300","34.4300","","","-1"
